,id,username,first_name,last_name,full_name,description,verified,city,country_code,followers_count,followings_count,comments_count,track_count,avatar_url,groups_count,playlist_count,reposts_count,last_modified,created_at
0,1017427111,L2Share♫140,None,None,None,"***Please follow us to stay updated on all the latest songs.
Support @L2Share by clicking ""Follow"" ""Like"" ""Repost"" ""Share""... Thank you so much!!!",None,None,None,2300,97,None,34,https://i1.sndcdn.com/avatars-ywO1466TsSZtdiWv-dHnH4A-large.jpg,None,None,None,2021-08-10T07:36:10Z,2021-08-10T07:34:33Z
1,233983367,Đặng Gia Linh,Đặng,Gia Linh,Đặng Gia Linh,Khello,None,hà nội,VN,1638,39,23,12,https://i1.sndcdn.com/avatars-qbKTNcAR2B4Hxh5A-iCx6jQ-large.jpg,None,1,None,2021-09-21T03:38:37Z,2016-06-16T09:40:22Z
2,108936759,Rum,Rum,None,Rum,"Contact: howfeel.rum@gmail.com

►YouTube Channel: https://metub.net/rum
► Instagram: https://www.instagram.com/rumrumne
► FB Profile: https://www.facebook.com/rumrumne
► FB Page: https://www.facebook.com/rumrumofficial",True,Hue,VN,9450,29,6,11,https://i1.sndcdn.com/avatars-C3vT0ODfWZqh1vzy-iyCQJg-large.jpg,None,1,None,2021-05-16T20:41:43Z,2014-08-14T16:39:26Z
3,44615530,SONBEAT,None,None,None,"My Home: http://sonbeatmusic.com
Music Course: http://dzus.edu.vn",True,None,VN,23453,15,195,40,https://i1.sndcdn.com/avatars-sgSt4of1BsJ2TvtG-L1Fv1w-large.jpg,None,3,None,2021-10-20T09:48:55Z,2013-05-13T08:09:02Z
4,1007825434,𝟹 𝟷 𝟶 𝟽,None,None,None,"🎶 / 𝙼ộ𝚝 𝚌𝚑𝚒ế𝚌 𝚗𝚑ạ𝚌. /
fb.com/teemohoaitit205",None,ha noi,None,730,None,1,9,https://i1.sndcdn.com/avatars-fjJZqzxazVtZOk8X-Dtg4yQ-large.jpg,None,None,None,2021-10-17T02:55:06Z,2021-07-13T23:49:54Z
5,268637158,VRT,None,None,None,"Le Vo Viet Truong
Cảm ơn bạn đã ghé thăm
Booking: djvrt.contact@gmail.com",True,Ho Chi Minh,VN,2344,15,159,24,https://i1.sndcdn.com/avatars-xcZmDSwgb9UVkRzz-wSd1cw-large.jpg,None,2,None,2021-10-12T06:27:48Z,2016-11-16T05:32:56Z
6,214108729,VUX,Vũ,Nguyễn,Vũ Nguyễn,Contact: https://www.facebook.com/vux0501,None,None,VN,3937,1,14,13,https://i1.sndcdn.com/avatars-T1Coq6lJGUAnedIu-C0um1w-large.jpg,None,None,None,2021-09-25T15:11:39Z,2016-03-24T14:59:36Z
7,468124167,𝚑𝚞𝚠𝚗𝚐,Hưng,Vũ,Hưng Vũ,^^,None,hanoi,VN,553,None,5,10,https://i1.sndcdn.com/avatars-n1HKnLRVtzPiy0UZ-RTM0Vw-large.jpg,None,3,None,2021-10-05T11:38:31Z,2018-06-25T04:20:17Z
8,144468830,Khoi Vu,Bệu - Lennie,None,Bệu - Lennie,"Check My Music On All Platforms!
* Facebook: 
https://www.facebook.com/khoivu.pham99
* Instagram: 
https://www.instagram.com/lennie.99/?hl=en
* Youtube: 
https://www.youtube.com/channel/UCWBhkwRP-zQy194ZhzlMTTA
* Spotify: 
https://open.spotify.com/artist/71Cy7nzbfpuGJAS5FGxm93

--------------------------------------------------------------------------------------
Liên hệ công việc với mình tại:
Email: khoivupham99@gmail.com",None,Berlin,None,13953,111,227,21,https://i1.sndcdn.com/avatars-Hdq3JcpgElmpB8Ny-91kNzQ-large.jpg,None,11,None,2021-10-12T16:30:58Z,2015-03-22T07:41:59Z
9,104252977,yafu,None,None,None,"INSTAGRAM : HS.LILYAFUUU
INSTAGRAM : HS.LILYAFUUU
INSTAGRAM : HS.LILYAFUUU",None,Đà Lạt ,None,2833,9,11,7,https://i1.sndcdn.com/avatars-Hrahe9Vy4ZBzJZCD-iptAqw-large.jpg,None,None,None,2021-10-18T14:09:40Z,2014-07-12T10:21:07Z
10,258612226,Nyctophilia,by,Haustek Agency,by Haustek Agency,None,None,Hanoi,None,2438,101,78,360,https://i1.sndcdn.com/avatars-000671599721-5v3c7t-large.jpg,None,31,None,2021-08-18T17:02:52Z,2016-10-01T21:34:50Z
11,38911229,ShenlongZ,None,None,None,"Basses Colonel
Contact : shenlongproducer@gmail.com
Manager Mrs. Tiny  : 093 5355521",True,Nha Trang,VN,20009,1962,1263,67,https://i1.sndcdn.com/avatars-MO77ymolkaSyyy5q-D8n1aw-large.jpg,None,2,None,2021-09-11T12:07:41Z,2013-03-12T13:42:24Z
12,65413654,Cofm ♫,Lê,Minh Chức,Lê Minh Chức,Heart Breaken,None,Hà Nội,VN,1985,100,255,32,https://i1.sndcdn.com/avatars-000137255921-csnwv2-large.jpg,None,6,None,2021-03-04T12:27:26Z,2013-11-07T16:14:31Z
13,369774062,Lkang,lam,quang,lam quang,None,None,Can Tho,VN,616,None,4,2,https://i1.sndcdn.com/avatars-7MAXHdKoleQI3mwW-YSzSNA-large.jpg,None,None,None,2021-06-22T18:50:44Z,2017-12-23T03:49:04Z
14,9423936,Ronniboi,None,None,None,ronniboimusic@gmail.com,None,Melbourne,AU,7369,110,37,59,https://i1.sndcdn.com/avatars-000700453924-p8jpa6-large.jpg,None,3,None,2021-06-20T06:16:25Z,2011-12-02T06:59:50Z
15,8532516,Hieu Tran Music Producer,Hieu,Tran,Hieu Tran,"Contacts for business:
Hiếu Trần
DJ - Music Producer
Email: hieutranmusicproducer@gmail.com

Tiểu Đình
https://soundcloud.com/mylly-dinh-nguyen",None,Ho Chi Minh City,VN,2558,2,44,79,https://i1.sndcdn.com/avatars-dbZxkVjAIvf5pxz5-WG2woQ-large.jpg,None,6,None,2021-05-17T00:38:16Z,2011-10-31T10:24:30Z
16,985860319,DARLING,None,None,None,None,None,Hạ long and Hà nội,VN,781,12,58,12,https://i1.sndcdn.com/avatars-ZsT4keWPkismYNTl-Mp7bUw-large.jpg,None,None,None,2021-08-04T04:01:14Z,2021-05-17T04:53:09Z
17,22063637,Orion Bui,Orion,Bui,Orion Bui,None,None,HCM,VN,231,6,13,47,https://i1.sndcdn.com/avatars-000060541204-3x0d8x-large.jpg,None,1,None,2017-05-30T18:47:31Z,2012-08-13T10:26:32Z
18,788297389,𝚒 𝚑𝚊𝚟𝚎 𝚊 𝚜𝚕𝚘𝚠𝚎𝚍 𝚜𝚘𝚗𝚐,Nguyễn,Toàn,Nguyễn Toàn,Youtube* https://youtube.com/channel/UCSqOFNy9ckkbvZWQXB04MUw,None,None,VN,3537,3,128,37,https://i1.sndcdn.com/avatars-IdURdaSBy5zdl1aV-eL4XdA-large.jpg,None,2,None,2021-09-25T17:26:22Z,2020-03-02T11:31:22Z
19,867403513,𝑪𝒂̀ 𝒑𝒉𝒆̂ 𝒔𝒖̛̃𝒂 (đá) ☕,None,None,None,Ai cho ly cà phê sữa không đường?,None,None,VN,1661,10,3,14,https://i1.sndcdn.com/avatars-oc1CTn6folxFqDM7-rBDMwg-large.jpg,None,1,None,2021-07-15T08:16:46Z,2020-08-14T01:50:21Z
20,268637158,VRT,None,None,None,"Le Vo Viet Truong
Cảm ơn bạn đã ghé thăm
Booking: djvrt.contact@gmail.com",True,Ho Chi Minh,VN,2344,15,159,24,https://i1.sndcdn.com/avatars-xcZmDSwgb9UVkRzz-wSd1cw-large.jpg,None,2,None,2021-10-12T06:27:48Z,2016-11-16T05:32:56Z
21,926858524,DeeYouSee,None,None,None,Just an amateur music producer.,None,Hanoi,VN,184,22,7,37,https://i1.sndcdn.com/avatars-QLzi8CwDTKk5KEzO-BsDj3w-large.jpg,None,1,None,2021-10-18T13:07:43Z,2020-12-29T09:35:17Z
22,165032501,RPT Phongkhin,pacman.,None,pacman.,"@peecartrue
Northside 99🥦",True,⚯⚡,VN,23601,80,130,84,https://i1.sndcdn.com/avatars-fgJzTzTDXr3uFexQ-46D02g-large.jpg,None,5,None,2021-10-15T05:35:24Z,2015-07-26T09:31:38Z
23,108936759,Rum,Rum,None,Rum,"Contact: howfeel.rum@gmail.com

►YouTube Channel: https://metub.net/rum
► Instagram: https://www.instagram.com/rumrumne
► FB Profile: https://www.facebook.com/rumrumne
► FB Page: https://www.facebook.com/rumrumofficial",True,Hue,VN,9450,29,6,11,https://i1.sndcdn.com/avatars-C3vT0ODfWZqh1vzy-iyCQJg-large.jpg,None,1,None,2021-05-16T20:41:43Z,2014-08-14T16:39:26Z
24,888912736,Kevinnnz,Tiến,Lương Thanh,Tiến Lương Thanh,None,None,Huế,VN,233,31,13,2,https://i1.sndcdn.com/avatars-000894391984-zseznc-large.jpg,None,3,None,2020-10-02T16:32:42Z,2020-10-02T16:11:20Z
25,1007825434,𝟹 𝟷 𝟶 𝟽,None,None,None,"🎶 / 𝙼ộ𝚝 𝚌𝚑𝚒ế𝚌 𝚗𝚑ạ𝚌. /
fb.com/teemohoaitit205",None,ha noi,None,730,None,1,9,https://i1.sndcdn.com/avatars-fjJZqzxazVtZOk8X-Dtg4yQ-large.jpg,None,None,None,2021-10-17T02:55:06Z,2021-07-13T23:49:54Z
26,31184388,TIEN TIEN,TIEN,None,TIEN,"PEOPLE SING MY SONGS, I SING MY LOVE",True,None,None,50377,10,4,16,https://i1.sndcdn.com/avatars-LozT9NdP691tpIa3-sjZIPw-large.jpg,None,5,None,2021-10-21T13:41:48Z,2012-12-25T00:45:50Z
27,693632069,ZRecords,None,None,None,HCM city,None,Ho Chi Minh city,VN,587,20,29,50,https://i1.sndcdn.com/avatars-VdSMexsvAO0wewzy-hZy8LQ-large.jpg,None,2,None,2021-10-13T16:50:01Z,2019-09-01T03:36:27Z
28,13493463,Kimmese,Cam Le,Quach,Cam Le Quach,None,True,Hanoi,VN,31978,31,7,38,https://i1.sndcdn.com/avatars-000336213150-h3dtjg-large.jpg,None,3,None,2021-06-14T15:27:01Z,2012-03-12T05:52:32Z
29,336636319,fishy,None,None,None,"i broke your hearts last week
atlantiscity.fishy@gmail.com",None,atlantis,None,1937,12,44,6,https://i1.sndcdn.com/avatars-yr57wGd9Ubjg7vbz-M8AoXg-large.jpg,None,1,None,2021-10-20T00:58:14Z,2017-10-07T14:33:11Z
30,17172626,BeeBB,None,Jaunty Maniacs,Jaunty Maniacs,"Booking Asia/ World: phuonganhlk061@gmail.com
.only Bass Music
.from 2012",True,HCMC,VN,13860,69,217,221,https://i1.sndcdn.com/avatars-jS1ABuK6xPe49Dkz-U2a4QA-large.jpg,None,17,None,2021-10-12T01:05:29Z,2012-05-19T11:11:23Z
31,294660233,H.A Music B,H.A,Music B,H.A Music B,None,None,None,US,64,11,8,12,https://i1.sndcdn.com/avatars-000301392901-0ahvhz-large.jpg,None,None,None,2021-10-10T03:00:22Z,2017-03-12T02:16:30Z
32,804206584,Cloud 5,Hong Son,Do,Hong Son Do,None,None,None,None,693,32,170,8,https://i1.sndcdn.com/avatars-XxnqlpxGT142gOiP-SiaFxg-large.jpg,None,None,None,2021-05-30T11:05:33Z,2020-04-04T03:32:19Z
